t      x          y        theta      v       w        a
5     10.88     51.20     0.01     5.00     -0.79     1.00
9     8.84     44.08     3.17     5.00     -1.41     0.00
15     9.58     39.25     1.08     -7.00     1.41     -2.00
17     16.54     32.30     3.92     -6.00     1.10     0.50
26     2.66     27.24     1.26     -1.50     -0.31     0.50
29     3.04     16.87     0.43     -6.00     1.10     -1.50
32     8.25     10.58     3.74     -6.00     1.57     0.00
38     12.69     12.16     0.71     6.00     -1.26     2.00
43     23.53     11.64     1.02     -4.00     2.67     -2.00
45     28.60     13.09     0.38     -6.00     1.10     -1.00
54     43.37     12.45     4.01     -1.50     -0.31     0.50
59     48.84     17.39     2.45     -1.50     0.47     0.00
62     47.66     14.92     3.88     3.00     0.94     1.50
65     51.52     6.44     0.43     4.50     0.47     0.50
69     58.98     5.23     2.63     4.50     -2.67     0.00
72     63.91     1.13     1.21     6.00     -0.31     0.50
80     73.89     3.32     4.99     -2.00     -1.57     -1.00
85     78.10     12.21     3.73     -4.50     2.36     -0.50
90     82.99     17.59     3.25     5.50     -1.57     2.00
97     89.74     21.57     4.83     -5.00     -0.47     -1.50
103     87.00     31.64     2.12     1.00     2.36     1.00
105     86.76     33.82     0.85     -3.00     0.79     -2.00
109     97.84     36.28     4.01     -11.00     1.41     -2.00
110     97.56     46.28     5.43     -11.00     1.57     0.00
